Date,Trap,Species,Address,Block,Street,Latitude,Longitude,AddressAccuracy,NumMosquitos,NumTrapGroups,WnvPresent,NumWnvPresent
2007-05-29,T002,CULEX PIPIENS/RESTUANS,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",41, N OAK PARK AVE,41.95469,-87.800991,9,1.0,1,0,0
2007-05-29,T002,CULEX RESTUANS,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",41, N OAK PARK AVE,41.95469,-87.800991,9,1.0,1,0,0
2007-05-29,T007,CULEX RESTUANS,"6200 North Mandell Avenue, Chicago, IL 60646, USA",62, N MANDELL AVE,41.994991,-87.769279,9,1.0,1,0,0
2007-05-29,T015,CULEX PIPIENS/RESTUANS,"7900 West Foster Avenue, Chicago, IL 60656, USA",79, W FOSTER AVE,41.974089,-87.824812,8,1.0,1,0,0
2007-05-29,T015,CULEX RESTUANS,"7900 West Foster Avenue, Chicago, IL 60656, USA",79, W FOSTER AVE,41.974089,-87.824812,8,4.0,1,0,0
2007-05-29,T045,CULEX RESTUANS,"1500 West Webster Avenue, Chicago, IL 60614, USA",15, W WEBSTER AVE,41.9216,-87.666455,8,2.0,1,0,0
2007-05-29,T046,CULEX RESTUANS,"2500 West Grand Avenue, Chicago, IL 60654, USA",25, W GRAND AVE,41.891118,-87.654491,8,1.0,1,0,0
2007-05-29,T048,CULEX PIPIENS/RESTUANS,"1100 Roosevelt Road, Chicago, IL 60608, USA",11, W ROOSEVELT,41.867108,-87.654224,8,1.0,1,0,0
2007-05-29,T048,CULEX RESTUANS,"1100 Roosevelt Road, Chicago, IL 60608, USA",11, W ROOSEVELT,41.867108,-87.654224,8,2.0,1,0,0
2007-05-29,T049,CULEX RESTUANS,"1100 West Chicago Avenue, Chicago, IL 60642, USA",11, W CHICAGO,41.896282,-87.655232,8,1.0,1,0,0
2007-05-29,T050,CULEX PIPIENS/RESTUANS,"2100 North Stave Street, Chicago, IL 60647, USA",21, N STAVE ST,41.919343,-87.694259,8,1.0,1,0,0
2007-05-29,T054,CULEX PIPIENS/RESTUANS,"2200 North Cannon Drive, Chicago, IL 60614, USA",22, N CANNON DR,41.921965,-87.632085,8,2.0,1,0,0
2007-05-29,T054,CULEX RESTUANS,"2200 North Cannon Drive, Chicago, IL 60614, USA",22, N CANNON DR,41.921965,-87.632085,8,3.0,1,0,0
2007-05-29,T086,CULEX PIPIENS/RESTUANS,"2200 West 113th Street, Chicago, IL 60643, USA",22, W 113TH ST,41.688324,-87.676709,8,1.0,1,0,0
2007-05-29,T086,CULEX RESTUANS,"2200 West 113th Street, Chicago, IL 60643, USA",22, W 113TH ST,41.688324,-87.676709,8,1.0,1,0,0
2007-05-29,T091,CULEX RESTUANS,"1100 South Peoria Street, Chicago, IL 60608, USA",11, S PEORIA ST,41.862292,-87.64886,8,1.0,1,0,0
2007-05-29,T094,CULEX RESTUANS,"1700 West 95th Street, Chicago, IL 60643, USA",17, W 95TH ST,41.720848,-87.666014,9,3.0,1,0,0
2007-05-29,T096,CULEX PIPIENS,"2200 West 89th Street, Chicago, IL 60643, USA",22, W 89TH ST,41.731922,-87.677512,8,1.0,1,0,0
2007-05-29,T096,CULEX RESTUANS,"2200 West 89th Street, Chicago, IL 60643, USA",22, W 89TH ST,41.731922,-87.677512,8,5.0,1,0,0
2007-05-29,T129,CULEX PIPIENS/RESTUANS,"North Streeter Drive, Chicago, IL 60611, USA",53, N STREETER DR,41.891126,-87.61156,5,1.0,1,0,0
2007-05-29,T129,CULEX RESTUANS,"North Streeter Drive, Chicago, IL 60611, USA",53, N STREETER DR,41.891126,-87.61156,5,2.0,1,0,0
2007-05-29,T143,CULEX PIPIENS/RESTUANS,"6500 North Oak Park Avenue, Chicago, IL 60631, USA",65, N OAK PARK AVE,41.999129,-87.795585,8,1.0,1,0,0
2007-05-29,T148,CULEX PIPIENS/RESTUANS,"7500 North Oakley Avenue, Chicago, IL 60645, USA",75, N OAKLEY AVE,42.01743,-87.687769,8,1.0,1,0,0
2007-05-29,T153,CULEX RESTUANS,"1500 North Long Avenue, Chicago, IL 60651, USA",15, N LONG AVE,41.907645,-87.760886,8,1.0,1,0,0
2007-05-29,T159,CULEX RESTUANS,"8900 South Carpenter Street, Chicago, IL 60620, USA",89, S CARPENTER ST,41.732984,-87.649642,8,1.0,1,0,0
2007-06-05,T002,CULEX PIPIENS,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",41, N OAK PARK AVE,41.95469,-87.800991,9,1.0,1,0,0
2007-06-05,T002,CULEX PIPIENS/RESTUANS,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",41, N OAK PARK AVE,41.95469,-87.800991,9,3.0,1,0,0
2007-06-05,T002,CULEX RESTUANS,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",41, N OAK PARK AVE,41.95469,-87.800991,9,5.0,1,0,0
